,cash,mv,nav
2015-05-14,20249.611783791126,1085649.3066224589,1105898.91840625
2015-05-15,20249.611783791126,1087945.5962648764,1108195.2080486675
2015-05-18,20249.611783791126,1089447.6715966093,1109697.2833804004
2015-05-19,20249.611783791126,1085641.1759825307,1105890.7877663218
2015-05-20,20249.611783791126,1086459.185732661,1106708.7975164521
2015-05-21,20249.611783791126,1088158.4754233158,1108408.0872071069
2015-05-22,20249.611783791126,1086305.9926006787,1106555.6043844698
2015-05-26,20249.611783791126,1077085.025278107,1097334.6370618981
2015-05-27,20249.611783791126,1083601.345882891,1103850.957666682
2015-05-28,20249.611783791126,1082628.2676215416,1102877.8794053327
2015-05-29,20885.74717719572,1077141.6636361287,1098027.4108133244
2015-06-01,20885.74717719572,1076911.6973604122,1097797.444537608
2015-06-02,20885.74717719572,1078504.7760673016,1099390.5232444974
2015-06-03,20885.74717719572,1079029.5131388716,1099915.2603160674
2015-06-04,20885.74717719572,1071246.7993430165,1092132.5465202122
2015-06-05,20885.74717719572,1071048.447451521,1091934.1946287167
2015-06-08,20885.74717719572,1065936.2909739222,1086822.038151118
2015-06-09,20885.74717719572,1063394.1860997875,1084279.9332769832
2015-06-10,20885.74717719572,1072541.568684628,1093427.3158618237
2015-06-11,20885.74717719572,1074172.572354443,1095058.3195316386
2015-06-12,22150.023163837344,1068204.7800712532,1090354.8032350906
2015-06-15,22150.023163837344,1064402.1899011908,1086552.2130650282
2015-06-16,22150.023163837344,1067690.256357305,1089840.2795211424
2015-06-17,22150.023163837344,1069899.3325245099,1092049.3556883472
2015-06-18,22150.023163837344,1076595.7376142698,1098745.7607781072
2015-06-19,22150.023163837344,1073525.2348776292,1095675.2580414666
2015-06-22,22150.023163837344,1077833.4416265674,1099983.4647904048
2015-06-23,22150.023163837344,1078139.398165208,1100289.4213290454
2015-06-24,22150.023163837344,1070722.5156196402,1092872.5387834776
2015-06-25,22326.97601608951,1066904.2317149956,1089231.2077310851
2015-06-26,22326.97601608951,1064149.0374009416,1086476.0134170312
